Name;UB;CP;Gap;CP_Time;MIP;Gap;MIP_Time;Heuristic;Gap;Heuristic_Time;Hybrid;Gap;Hybrid_Time
A_2_5_1;85;85;0;414;85;0;1055;85;0;9;85;0;375
A_2_5_2;160;160;0;53;160;0;139;160;0;5;160;0;44
A_2_5_3;105;105;0;37;105;0;39;105;0;3;105;0;33
A_2_5_4;105;105;0;300000;105;0;107;105;0;10;105;0;531
A_2_10_1;50;50;0;212;50;0;125;50;0;24;50;0;268
A_2_10_2;150;150;0;300000;150;0;4587;110;27;21;140;7;15227
A_2_10_3;220;220;0;255;220;0;378;220;0;52;220;0;261
A_2_10_4;150;150;0;300000;150;0;1443;150;0;50;150;0;1847
A_2_15_1;215;215;0;431;215;0;618;215;0;89;215;0;1326
A_2_15_2;320;290;9;300000;275;14;300000;240;25;15;275;14;90674
A_2_15_3;205;205;0;300000;205;0;2167;205;0;12;205;0;139759
A_2_15_4;255;255;0;300000;255;0;4902;255;0;11;255;0;49266
A_2_20_1;255;255;0;300000;255;0;10256;245;4;52;245;4;294900
A_2_20_2;270;270;0;300000;270;0;7624;270;0;42;270;0;201615
A_2_20_3;260;260;0;300000;260;0;10135;250;4;27;260;0;155839
A_2_20_4;380;355;7;300000;345;9;300000;345;9;39;345;9;162334
A_3_5_1;205;205;0;175;205;0;776;145;29;1;205;0;102
A_3_5_2;115;115;0;187;115;0;212;115;0;0;115;0;24
A_3_5_3;125;125;0;16;125;0;98;125;0;0;125;0;5
A_3_5_4;190;190;0;18;190;0;107;190;0;1;190;0;8
A_3_10_1;205;205;0;353;205;0;274;205;0;3;205;0;2230
A_3_10_2;230;230;0;2637;230;0;4039;200;13;2;230;0;23278
A_3_10_3;305;305;0;300000;305;0;6025;305;0;3;305;0;53302
A_3_10_4;300;300;0;300000;300;0;543;300;0;5;300;0;394
A_3_15_1;330;330;0;300000;330;0;11191;315;5;44;330;0;102587
A_3_15_2;425;395;7;300000;395;7;300000;375;12;14;390;8;4239
A_3_15_3;330;290;12;300000;280;15;300000;280;15;9;290;12;52873
A_3_15_4;475;440;7;300000;420;12;300000;390;18;16;440;7;254550
A_3_20_1;345;340;1;300000;280;19;300000;280;19;32;280;19;253366
A_3_20_2;415;415;0;300000;310;25;300000;310;25;23;315;24;255852
A_3_20_3;360;330;8;300000;325;10;300000;325;10;56;325;10;243884
A_3_20_4;480;480;0;300000;435;9;300000;435;9;35;470;2;149430
A_4_5_1;140;140;0;15;140;0;79;140;0;0;140;0;5
A_4_5_2;150;150;0;22;150;0;296;150;0;0;150;0;16
A_4_5_3;165;165;0;16;165;0;95;165;0;0;165;0;7
A_4_5_4;230;230;0;21;230;0;265;230;0;0;230;0;10
A_4_10_1;310;310;0;300000;240;23;300000;240;23;5;240;23;300000
A_4_10_2;370;370;0;300000;370;0;51041;370;0;1;370;0;312
A_4_10_3;445;375;16;300000;350;21;300000;350;21;3;350;21;300000
A_4_10_4;285;285;0;300000;285;0;657;285;0;2;285;0;40
A_4_15_1;545;415;24;300000;360;34;300000;360;34;17;360;34;296608
A_4_15_2;610;475;22;300000;455;25;300000;455;25;31;455;25;192264
A_4_15_3;450;430;4;300000;410;9;300000;410;9;20;410;9;29357
A_4_15_4;515;455;12;300000;435;16;300000;435;16;29;435;16;282456
A_4_20_1;585;535;9;300000;480;18;300000;480;18;57;480;18;196031
A_4_20_2;440;425;3;300000;405;8;300000;385;13;58;405;8;147700
A_4_20_3;425;375;12;300000;300;29;300000;300;29;89;300;29;300000
A_4_20_4;500;465;7;300000;445;11;300000;445;11;39;455;9;215212
A_5_5_1;200;200;0;17;200;0;113;200;0;0;200;0;7
A_5_5_2;200;200;0;22;200;0;187;200;0;0;200;0;11
A_5_5_3;220;220;0;24;220;0;234;220;0;0;220;0;14
A_5_5_4;175;175;0;300000;175;0;390;175;0;0;175;0;49
A_5_10_1;350;350;0;62;350;0;1593;350;0;3;350;0;71
A_5_10_2;345;345;0;44;345;0;835;345;0;1;345;0;36
A_5_10_3;285;285;0;300000;285;0;22468;270;5;3;285;0;158
A_5_10_4;380;380;0;56;380;0;1300000;380;0;2;380;0;41
A_5_15_1;590;445;25;300000;445;25;300000;445;25;19;445;25;300000
A_5_15_2;695;580;17;300000;495;29;300000;495;29;15;520;25;241135
A_5_15_3;395;350;11;300000;335;15;300000;335;15;20;350;11;104745
A_5_15_4;520;500;4;300000;485;7;300000;485;7;37;485;7;168244
A_5_20_1;760;695;9;300000;635;16;300000;635;16;49;665;13;253379
A_5_20_2;645;500;22;300000;460;29;300000;460;29;67;460;29;298333
A_5_20_3;645;595;8;300000;565;12;300000;565;12;63;585;9;136384
A_5_20_4;560;505;10;300000;485;13;300000;485;13;121;490;13;172364
